Volunteer ID,Water Sample ID from Collection Sheets,N Result (PPM),Additional Info,Date,Barnstable Country Health Lab Collection Address,X,Y,,,,,,,,,,,,,,,
2,ST-PW-058-N,2.3,,9/26/2018, Lab Reported collection address as ST-PW-58-N,-70.028834,41.956173,,,,,,,,,,,,,,,
4,ST-PW-044-N,0.69,,9/25/2018,ST-PW-044-N,-70.020464,41.913117,,,,,,,,,,,,,,,
6,ST-PW-020-N,ND,,8/22/2018,ST-PW-020-N,-70.054394,41.724576,,,,,,,,,,,,,,,
7,ST-PW-110-N,0.36,,12/10/2018,ST-PW-110-N,-70.560571,41.620167,,,,,,,,,,,,,,,
8,ST-PW-019-N,3.1,,8/22/2018,ST-PW-019-N,-70.080142,41.714406,,,,,,,,,,,,,,,
9,ST-PW-077-N,4.9,,11/7/2018,ST-PW-077-N,-70.62462,41.591673,,,,,,,,,,,,,,,
10,ST-PW-027-N,ND,,9/25/2018,ST-PW-027-N,-69.9669,41.756625,,,,,,,,,,,,,,,
12,ST-PW-075-N,0.38,,11/7/2018,ST-PW-075-N,-70.550064,41.569038,,,,,,,,,,,,,,,
14,ST-PW-083-N,0.46,,11/7/2018,ST-PW-083-N,-70.464744,41.670144,,,,,,,,,,,,,,,
15,ST-PW-086-N,0.5,,11/7/2018,ST-PW-086-N,-70.466661,41.669676,,,,,,,,,,,,,,,
17,ST-PW-090-N,0.82,,11/7/2018,ST-PW-090-N,-70.468272,41.690043,,,,,,,,,,,,,,,
18,ST-PW-104-N,2.3,,11/8/2018,ST-PW-104-N,-70.38783,41.736285,,,,,,,,,,,,,,,
19,ST-PW-022-N,0.1,,8/22/2018,ST-PW-022-N,-70.131024,41.701437,,,,,,,,,,,,,,,
21,ST-PW-007-N,0.35,,8/21/2018,ST-PW-007-N,-70.005294,41.699862,,,,,,,,,,,,,,,
23,ST-PW-088-N,3.1,,11/7/2018,ST-PW-088-N,-70.43431,41.697027,,,,,,,,,,,,,,,
27,ST-PW-063-N,0.06,,9/26/2018,ST-PW-063-N,-70.064042,42.03828,,,,,,,,,,,,,,,
28,ST-PW-048-N,4.3,,9/25/2018,ST-PW-048-N,-70.018304,41.940243,,,,,,,,,,,,,,,
29,ST-PW-127-N,2.4,,12/10/2018,ST-PW-127-N,-70.282832,41.70249,,,,,,,,,,,,,,,
30,ST-PW-100-N,0.89,,11/8/2018,ST-PW-100-N,-70.390462,41.733036,,,,,,,,,,,,,,,
32,ST-PW-067-N,0.08,,9/26/2018,ST-PW-067-N,-69.952163,41.84649,,,,,,,,,,,,,,,
33,ST-PW-097-N,0.61,,11/8/2018,ST-PW-097-N,-70.372863,41.694273,,,,,,,,,,,,,,,
34,ST-PW-001-N,ND,,8/21/2018,ST-PW-001-N,-70.1262,41.710005,,,,,,,,,,,,,,,
35,ST-PW-004-N,1.9,,8/21/2018,ST-PW-004-N,-70.049183,41.715738,,,,,,,,,,,,,,,
